player_id,player_name,draft_year,draft_round,overall_pick,team,source_url,source_updated_at,verified_at_utc
,AJ Dybantsa,2026,1,1,WAS,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Darryn Peterson,2026,1,2,UTA,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Cameron Boozer,2026,1,3,MEM,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Caleb Wilson,2026,1,4,CHI,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Keaton Wagler,2026,1,5,LAC,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Mikel Brown Jr.,2026,1,6,BKN,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Darius Acuff Jr.,2026,1,7,SAC,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Kingston Flemings,2026,1,8,ATL,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Morez Johnson Jr.,2026,1,9,DAL,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Brayden Burries,2026,1,10,MIL,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Yaxel Lendeborg,2026,1,11,GSW,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Aday Mara,2026,1,12,OKC,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
1643417,Nate Ament,2026,1,13,MIL,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Hannes Steinbach,2026,1,14,CHA,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Dailyn Swain,2026,1,15,CHI,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Bennett Stirtz,2026,1,16,OKC,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Ebuka Okorie,2026,1,17,DET,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Christian Anderson,2026,1,18,CHA,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Allen Graves,2026,1,19,TOR,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Jayden Quaintance,2026,1,20,SAS,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Karim López,2026,1,21,MEM,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Labaron Philon Jr.,2026,1,22,PHI,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Zuby Ejiofor,2026,1,23,ATL,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Cameron Carr,2026,1,24,LAL,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Sergio De Larrea,2026,1,25,DAL,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Tarris Reed Jr.,2026,1,26,SAS,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Chris Cenac Jr.,2026,1,27,BOS,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Joshua Jefferson,2026,1,28,BKN,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Alex Karaban,2026,1,29,SAC,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Koa Peat,2026,1,30,PHX,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Bruce Thornton,2026,2,31,HOU,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Richie Saunders,2026,2,32,MEM,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Isaiah Evans,2026,2,33,MIN,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Meleek Thomas,2026,2,34,CLE,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Trevon Brazile,2026,2,35,DEN,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Baba Miller,2026,2,36,LAC,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Ryan Conwell,2026,2,37,MIA,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Braden Smith,2026,2,38,IND,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Jack Kayil,2026,2,39,NYK,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Dillon Mitchell,2026,2,40,BOS,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Otega Oweh,2026,2,41,OKC,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Ja'Kobi Gillespie,2026,2,42,SAS,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Tyler Bilodeau,2026,2,43,BKN,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Maliq Brown,2026,2,44,SAS,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Emanuel Sharp,2026,2,45,SAC,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Felix Okpara,2026,2,46,WAS,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Tyler Nickel,2026,2,47,NYK,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Tobi Lawal,2026,2,48,DAL,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Bryce Hopkins,2026,2,49,DEN,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Jaden Bradley,2026,2,50,TOR,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Izaiyah Nelson,2026,2,51,ORL,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Henri Veesaar,2026,2,52,ATL,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
,Ugonna Onyenso,2026,2,53,DET,https://www.nba.com/news/2026-nba-draft-order,2026-07-10,2026-07-15
