season,conference,team,model_win_pct,historical_baseline_wins,historical_baseline_losses,historical_baseline_win_pct,conference_seed,old_roster_value,new_roster_value_low,new_roster_value_base,new_roster_value_high,roster_win_delta_low,roster_win_delta_base,roster_win_delta_high,injury_downside_wins,injury_upside_wins,adjusted_wins_low_raw,adjusted_wins_base_raw,adjusted_wins_high_raw,projected_wins,projected_losses,projected_win_pct,injury_win_adjustment_low,injury_win_adjustment_high,scenario_id,scenario_status
2026-27,East,DET,0.6529605071818474,54,28,0.6585365853658537,1,13.358455373065215,9.28287277253604,9.28287277253604,9.28287277253604,-4.0755826005291755,-4.0755826005291755,-4.0755826005291755,0.0,0.0,49.924417399470826,49.924417399470826,49.924417399470826,51,31,0.6219512195121951,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,East,CLE,0.5508012660973846,45,37,0.5487804878048781,2,11.96440723557341,15.162979124423291,15.162979124423291,15.162979124423291,3.198571888849882,3.198571888849882,3.198571888849882,0.0,0.0,48.198571888849884,48.198571888849884,48.198571888849884,49,33,0.5975609756097561,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,East,NYK,0.5958873903605502,49,33,0.5975609756097561,3,11.597624416193485,9.684693086582268,9.684693086582268,9.684693086582268,-1.912931329611217,-1.912931329611217,-1.912931329611217,0.0,0.0,47.08706867038878,47.08706867038878,47.08706867038878,48,34,0.5853658536585366,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,East,CHA,0.5864378435952969,48,34,0.5853658536585366,4,10.320127975915252,8.310621985301312,8.310621985301312,8.310621985301312,-2.00950599061394,-2.00950599061394,-2.00950599061394,0.0,0.0,45.99049400938606,45.99049400938606,45.99049400938606,47,35,0.573170731707317,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,East,BOS,0.6098007870283313,50,32,0.6097560975609756,5,13.4558350169742,8.235653307726372,8.235653307726372,8.235653307726372,-5.220181709247829,-5.220181709247829,-5.220181709247829,0.0,0.0,44.779818290752175,44.779818290752175,44.779818290752175,46,36,0.5609756097560976,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,East,ORL,0.5201723234591445,43,39,0.524390243902439,6,10.121133913088492,11.73469326609669,11.73469326609669,11.73469326609669,1.6135593530081973,1.6135593530081973,1.6135593530081973,0.0,0.0,44.6135593530082,44.6135593530082,44.6135593530082,45,37,0.5487804878048781,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,East,PHI,0.5358506491586851,44,38,0.5365853658536586,7,9.020762254202776,9.184040323857456,9.184040323857456,9.184040323857456,0.1632780696546802,0.1632780696546802,0.1632780696546802,0.0,0.0,44.16327806965468,44.16327806965468,44.16327806965468,45,37,0.5487804878048781,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,East,MIA,0.5322168390610813,44,38,0.5365853658536586,8,10.57109051910141,10.521290896580544,10.521290896580544,10.521290896580544,-0.0497996225208652,-0.0497996225208652,-0.0497996225208652,0.0,0.0,43.950200377479135,43.950200377479135,43.950200377479135,45,37,0.5487804878048781,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,East,TOR,0.5615426070865814,46,36,0.5609756097560976,9,11.925486256089076,9.737896882163447,9.737896882163447,9.737896882163447,-2.1875893739256274,-2.1875893739256274,-2.1875893739256274,0.0,0.0,43.812410626074374,43.812410626074374,43.812410626074374,45,37,0.5487804878048781,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
2026-27,East,ATL,0.5413184015657763,45,37,0.5487804878048781,10,8.900924104574225,5.956947861850431,5.956947861850431,5.956947861850431,-2.943976242723794,-2.943976242723794,-2.943976242723794,0.0,0.0,42.05602375727621,42.05602375727621,42.05602375727621,43,39,0.524390243902439,0.0,0.0,ROSTER_PROJECTION_V2,OFFICIAL_MOVES_WITH_INJURY_RANGES
