transaction_id,announced_date,effective_date,from_team,to_team,asset_type,asset_name,player_id,status,source_url,source_updated_at,verified_at_utc,notes,player_name,latest_team,latest_age,latest_season,seasons_used,weighted_pie,weighted_minutes,weighted_availability,weighted_net_rating,weighted_plus_minus,pie_above_replacement,minutes_share,estimated_wins_above_replacement,impact_confidence
2026_LAL_UTA_01,2026-07-01,2026-07-08,UTA,LAL,PLAYER,Walker Kessler,1631117,OFFICIAL,https://www.nba.com/news/2026-offseason-trade-tracker,2026-07-09,2026-07-11,Official NBA tracker,Walker Kessler,UTA,24.0,2025-26,3,0.13035000000000002,29.435000000000002,0.3628048780487805,-0.7649999999999997,-0.5149999999999999,0.05285000000000002,0.6132291666666667,0.9641725533854172,0.6814024390243902
2026_POR_MEM_01,2026-06-29,2026-06-29,MEM,POR,PLAYER,Ja Morant,1629630,OFFICIAL,https://www.nba.com/news/2026-offseason-trade-tracker,2026-07-09,2026-07-11,Official NBA tracker,Ja Morant,MEM,26.0,2025-26,3,0.13625,30.034999999999997,0.3335365853658537,-0.41000000000000014,0.1549999999999998,0.05875000000000001,0.6257291666666666,1.0054294466145834,0.6667682926829268
2026_POR_MEM_01,2026-06-29,2026-06-29,POR,MEM,PLAYER,Jerami Grant,203924,OFFICIAL,https://www.nba.com/news/2026-offseason-trade-tracker,2026-07-09,2026-07-11,Official NBA tracker,Jerami Grant,POR,32.0,2025-26,3,0.0877,31.14,0.6530487804878049,-3.4349999999999996,-2.32,0.0102,0.64875,0.3543537375000001,0.8265243902439025
2026_POR_MEM_01,2026-06-29,2026-06-29,POR,MEM,PLAYER,Kris Murray,1641738,OFFICIAL,https://www.nba.com/news/2026-offseason-trade-tracker,2026-07-09,2026-07-11,Official NBA tracker,Kobe Brown,IND,26.0,2025-26,3,0.07425,12.080000000000002,0.6359756097560976,-9.96,-2.6850000000000005,-0.003250000000000003,0.2516666666666667,-0.04265435416666671,0.8179878048780488
2026_ATL_SAC_01,2026-06-30,2026-06-30,SAC,ATL,PLAYER,Devin Carter,1642269,OFFICIAL,https://www.nba.com/news/2026-offseason-trade-tracker,2026-07-09,2026-07-11,Official NBA tracker,Devin Carter,SAC,24.0,2025-26,2,0.08552941176470587,15.788235294117642,0.45480631276901007,-3.3470588235294123,-1.5176470588235293,0.008029411764705868,0.32892156862745087,0.09849550681864422,0.5607364897178384
2026_ATL_OKC_01,2026-06-21,2026-07-06,OKC,ATL,PLAYER,Aaron Wiggins,1630598,OFFICIAL,https://www.nba.com/news/reports-hawks-acquire-guard-aaron-wiggins-from-thunder,2026-07-06,2026-07-11,Officially announced July 6,Aaron Wiggins,OKC,27.0,2025-26,3,0.091,21.215000000000003,0.8567073170731708,8.525,3.7050000000000005,0.013499999999999998,0.44197916666666676,0.4191619921875001,0.9283536585365855
2026_DET_OKC_01,2026-06-26,2026-07-06,OKC,DET,PLAYER,Isaiah Joe,1630198,OFFICIAL,https://www.nba.com/news/isaiah-joe-trade-pistons-thunder,2026-07-06,2026-07-11,Officially announced July 6,Isaiah Joe,OKC,26.0,2025-26,3,0.09465,20.945,0.8896341463414634,12.540000000000001,5.645,0.01715,0.43635416666666665,0.5459194252604166,0.9448170731707317
2026_CHA_HOU_01,2026-07-05,2026-07-06,HOU,CHA,PLAYER,Dorian Finney-Smith,1627827,OFFICIAL,https://www.nba.com/news/dorian-finney-smith-hornets-trade,2026-07-07,2026-07-11,Officially announced July 6,Dorian Finney-Smith,HOU,33.0,2025-26,3,0.046,22.17,0.6030487804878049,3.3000000000000003,1.45,-0.0315,0.46187500000000004,-0.719451140625,0.8015243902439024
2026_PHI_BOS_01,2026-07-01,2026-07-06,BOS,PHI,PLAYER,Jaylen Brown,1627759,OFFICIAL,https://www.nba.com/news/2026-offseason-trade-tracker,2026-07-09,2026-07-11,Official NBA tracker,Jaylen Brown,BOS,29.0,2025-26,3,0.13520000000000001,34.235,0.8347560975609756,7.73,5.28,0.057700000000000015,0.7132291666666667,2.8169449536458337,0.9173780487804878
2026_PHI_BOS_01,2026-07-01,2026-07-06,PHI,BOS,PLAYER,Paul George,202331,OFFICIAL,https://www.nba.com/news/2026-offseason-trade-tracker,2026-07-09,2026-07-11,Official NBA tracker,Paul George,PHI,36.0,2025-26,3,0.11505,31.705000000000002,0.5335365853658537,2.205,1.65,0.03755,0.6605208333333333,1.0851118815104166,0.7667682926829269
2026_MIA_MIL_01,2026-06-22,2026-07-06,MIL,MIA,PLAYER,Giannis Antetokounmpo,203507,OFFICIAL,https://www.nba.com/news/2026-offseason-trade-tracker,2026-07-09,2026-07-11,Official NBA tracker,Giannis Antetokounmpo,MIL,31.0,2025-26,3,0.2097,31.435000000000002,0.6201219512195122,5.57,3.6750000000000003,0.13219999999999998,0.6548958333333333,4.4024521031249995,0.8100609756097561
